Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Leitura;Unidade de Medida (X)
119855;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;Medição realizada com recipiente d 12L.;Padrão;02/09/2016;10:20;;Vazão;0,59167;LPS;2,13;MCH
122534;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;Medição realizada com recipiente de 12L.;Padrão;01/11/2016;15:30;;Vazão;0,45278;LPS;1,63;MCH
124126;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Realizada;;;Medição realizada  no recipiente de 12L.;Padrão;12/12/2016;14:00;;Vazão;0,91389;LPS;3,29;MCH
133297;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;;;DHP tubulado e direcionado para poço 06 CMT.;;29/05/2017;08:00;;;;;;
173845;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;18,23 seg  10 litros;Padrão;08/01/2019;13:27;;Vazão;0,54722;LPS;1,97;MCH
177692;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;21/03/2019;11:40;;;;;;
183821;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Histórico;;Devido a automatização dos furos dos instrumentos do TAM.;;10/05/2019;10:00;;;;;;
184468;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;16/05/2019;11:50;;;;;;
187998;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;12/06/2019;10:09;;;;;;
189642;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;25/06/2019;10:10;;;;;;
195627;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;07/08/2019;11:12;;;;;;
196500;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;13/08/2019;09:55;;;;;;
208752;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;Padrão;05/11/2019;10:59;;Vazão;0,32222;LPS;1,16;MCH
209628;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;Padrão;12/11/2019;10:32;;Vazão;0,3;LPS;1,08;MCH
210587;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Realizada;;;;Padrão;20/11/2019;10:58;;Vazão;0,28056;LPS;1,01;MCH
211468;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;27/11/2019;11:55;;;;;;
212743;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;03/12/2019;10:25;;;;;;
220278;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;31/01/2020;11:18;;;;;;
221608;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;04/02/2020;11:56;;;;;;
222472;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;12/02/2020;12:00;;;;;;
223524;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;20/02/2020;10:55;;;;;;
224435;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;28/02/2020;12:00;;;;;;
225758;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;03/03/2020;10:45;;;;;;
226636;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;10/03/2020;09:30;;;;;;
227685;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;19/03/2020;14:33;;;;;;
229588;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;03/04/2020;09:35;;;;;;
231821;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;15/04/2020;10:19;;;;;;
237405;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;24/05/2020;08:35;;;;;;
240874;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Sem acesso;;;;10/06/2020;10:04;;;;;;
241945;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Sem acesso;;;;17/06/2020;12:00;;;;;;
246988;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Instrumento Danificado;;;;15/07/2020;08:55;;;;;;
265824;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;MOBILE;Automatizada;;Não Realizada;Instrumento Danificado;;;;05/11/2020;09:03;;;;;;
267488;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Instrumento Danificado;;;;11/11/2020;09:16;;;;;;
268662;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;FILITO BATATAL;DHP-39/15 CMT;Medidor de Vazão;Dreno Horizontal Profundo;WEB;Automatizada;;Não Realizada;Instrumento Danificado;;;;17/11/2020;08:55;;;;;;
