Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Deslocamento Leste;Unidade de Medida (X);Deslocamento Cota;Unidade de Medida (Z);Deslocamento Norte;Unidade de Medida (AB)
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;13/05/2009;09:00;;Vetor deslocamento;1,0;mm;30,0;mm;31,4;mm;31,5;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;21/05/2009;09:00;;Vetor deslocamento;1,0;mm;31,3;mm;30,0;mm;29,9;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;28/05/2009;09:00;;Vetor deslocamento;1,0;mm;29,8;mm;31,7;mm;30,2;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;04/06/2009;09:00;;Vetor deslocamento;1,0;mm;30,1;mm;31,4;mm;30,0;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;11/06/2009;09:00;;Vetor deslocamento;1,0;mm;30,3;mm;32,2;mm;29,7;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;18/06/2009;09:00;;Vetor deslocamento;1,0;mm;30,5;mm;31,0;mm;29,5;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;25/06/2009;09:00;;Vetor deslocamento;1,0;mm;30,4;mm;32,7;mm;29,5;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;02/07/2009;09:00;;Vetor deslocamento;1,0;mm;30,0;mm;31,6;mm;29,6;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;09/07/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;32,3;mm;29,2;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;16/07/2009;09:00;;Vetor deslocamento;1,0;mm;29,6;mm;32,3;mm;29,1;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;30/07/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;32,9;mm;29,2;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;06/08/2009;09:00;;Vetor deslocamento;1,0;mm;28,9;mm;32,9;mm;29,1;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;13/08/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;33,2;mm;29,3;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;20/08/2009;09:00;;Vetor deslocamento;1,0;mm;29,8;mm;32,8;mm;29,0;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;27/08/2009;09:00;;Vetor deslocamento;1,0;mm;30,1;mm;32,8;mm;29,1;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;08/09/2009;09:00;;Vetor deslocamento;1,0;mm;29,9;mm;32,0;mm;29,4;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;17/09/2009;09:00;;Vetor deslocamento;1,0;mm;30,2;mm;33,2;mm;29,1;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;24/09/2009;09:00;;Vetor deslocamento;1,0;mm;29,8;mm;32,1;mm;29,0;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;02/10/2009;09:00;;Vetor deslocamento;1,0;mm;30,4;mm;32,7;mm;29,2;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;08/10/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;31,1;mm;28,6;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;09/10/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;31,8;mm;28,6;mm
43039;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE CAVA;CMTCVCTET003;Extensômetro;Triaxial;WEB;Manual;;Realizada;;;;Padrão;15/10/2009;09:00;;Vetor deslocamento;1,0;mm;29,7;mm;31,3;mm;29,1;mm
