Número da OS;Mina;Complexo Mineiro;Estrutura;Local de Instalação;Código do Instrumento;Tipo de Instrumento;Subtipo de Instrumento;Origem da Medição;Tipo de Coleta;Tipo de Medição;Situação da Medição;Justificativa de não Medição;Condição Adversa;Observação;Sensor;Data de Medição;Hora da Medição;Outlier;Grandeza física;Valor;Unidade de Medida;Coordenada Norte (Y);Unidade de Medida (X);Coordenada Leste (X);Unidade de Medida (Z);Cota (Z);Unidade de Medida (AB)
30028;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Manual;;Não Realizada;;;Leitura não confirmada;;17/02/2009;00:00;;;;;;;;;;
29680;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;17/04/2009;00:00;;Vetor Deslocamento;1,69073;m;7.775.606,512;m;612.863,098;m;1.393,748;m
15117;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;18/05/2009;00:00;;Vetor Deslocamento;1,69777;m;7.775.606,507;m;612.863,09;m;1.393,75;m
74879;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/10/2013;00:00;;Vetor Deslocamento;0,09542;m;7.775.608,098;m;612.863,482;m;1.393,376;m
72651;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;12/09/2013;00:00;;Vetor Deslocamento;0,09850;m;7.775.608,102;m;612.863,484;m;1.393,371;m
73649;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;05/09/2013;00:00;;Vetor Deslocamento;0,09794;m;7.775.608,102;m;612.863,482;m;1.393,372;m
72383;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;08/08/2013;00:00;;Vetor Deslocamento;0,09756;m;7.775.608,102;m;612.863,484;m;1.393,372;m
71727;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;07/08/2013;00:00;;Vetor Deslocamento;0,09659;m;7.775.608,105;m;612.863,485;m;1.393,372;m
71159;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;Topógrafo de férias.;;07/07/2013;00:00;;;;;;;;;;
70371;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;22/06/2013;01:00;;Vetor Deslocamento;0,08927;m;7.775.608,105;m;612.863,489;m;1.393,379;m
66160;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;20/03/2013;00:00;;Vetor Deslocamento;0,09429;m;7.775.608,108;m;612.863,489;m;1.393,373;m
65673;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;09/03/2013;01:00;;Vetor Deslocamento;0,09431;m;7.775.608,104;m;612.863,489;m;1.393,374;m
63950;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;24/01/2013;00:00;;Vetor Deslocamento;0,08832;m;7.775.608,105;m;612.863,489;m;1.393,38;m
62008;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;25/11/2012;00:00;;Vetor Deslocamento;0,09550;m;7.775.608,105;m;612.863,493;m;1.393,372;m
60673;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;10/10/2012;00:00;;Vetor Deslocamento;0,09197;m;7.775.608,106;m;612.863,499;m;1.393,375;m
59981;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;25/09/2012;00:00;;Vetor Deslocamento;0,08855;m;7.775.608,108;m;612.863,5;m;1.393,378;m
59808;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;10/09/2012;00:00;;Vetor Deslocamento;0,08679;m;7.775.608,108;m;612.863,496;m;1.393,38;m
59422;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;26/08/2012;00:00;;Vetor Deslocamento;0,08776;m;7.775.608,112;m;612.863,498;m;1.393,378;m
57518;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;12/06/2012;00:00;;Vetor Deslocamento;0,08063;m;7.775.608,113;m;612.863,5;m;1.393,385;m
56929;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;28/05/2012;00:00;;Vetor Deslocamento;0,08066;m;7.775.608,113;m;612.863,499;m;1.393,385;m
56652;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;13/05/2012;00:00;;Vetor Deslocamento;0,07829;m;7.775.608,115;m;612.863,5;m;1.393,387;m
54484;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;14/03/2012;00:00;;Vetor Deslocamento;0,07986;m;7.775.608,112;m;612.863,5;m;1.393,386;m
54323;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;06/03/2012;00:00;;Vetor Deslocamento;0,07695;m;7.775.608,117;m;612.863,501;m;1.393,388;m
46497;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;13/06/2011;00:00;;Vetor Deslocamento;0,02737;m;7.775.608,137;m;612.863,499;m;1.393,49;m
45835;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;Instrumento destruído ou sem visada;;14/05/2011;00:00;;;;;;;;;;
44631;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;OS realizada pelo tecnico Tercio Costa;;29/04/2011;08:00;;;;;;;;;;
45135;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Realizada;;;;Padrão;29/04/2011;00:00;;Vetor Deslocamento;355,13173;m;7.775.501,2;m;613.201,974;m;1.382,444;m
44984;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;Téc. responsável pela leitura em Férias;;14/04/2011;00:00;;;;;;;;;;
44191;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Automatizada;;Não Realizada;;;Téc. responsável em Férias;;29/03/2011;00:00;;;;;;;;;;
44341;Capitão do Mato;Vargem Grande;Cava Capitão do Mato;TALUDE DE MINERIO;CMTCVCTMP086;Marco Topográfico;Prisma;WEB;Manual;;Realizada;;;;Padrão;28/03/2011;00:00;;Vetor Deslocamento;355,15065;m;7.775.501,2;m;613.201,993;m;1.382,418;m
