id_instrumento;codigo;cota_fundo;cota_topo;profundidade;Forma de Coleta
1;CMT_DHP-40/18;0;0;0;Manual
2;CMT_DHP-41/18;0;0;0;Manual
3;CMT_DHP-42/18;0;0;0;Manual
4;CMT_DHP-43/18;0;0;0;Manual
5;CMT_DHP-44/21;0;0;0;Manual
6;CMT_INA-44/18;1171.7;1287;115.3;Manual
7;CMT_INA-45/18;1093;1345;252;Manual
8;CMT_INA-46/18;1132;1270;138;Manual
9;CMT_PTP_06/06;0;0;0;Manual
10;CMT_PTP_11/07;0;0;0;Manual
11;CMT_PTP_15/11;0;0;0;Manual
12;CMT_PTP_16/14;0;0;0;Manual
13;CMTCVCMTPRI014;0;0;0;Manual
14;CMTCVCMTPRI015;0;0;0;Manual
15;CMTCVCMTPRI016;0;0;0;Manual
16;CMTCVCMTPRI017;0;0;0;Manual
17;CMTCVCMTPRI028;0;0;0;Manual
18;CMTCVCMTPRI029;0;0;0;Manual
19;CMTCVCMTPRI031;0;0;0;Manual
20;CMTCVCMTPRI035;0;0;0;Manual
21;CMTCVCMTPRI041;0;0;0;Manual
22;CMTCVCMTPRI044;0;0;0;Manual
23;CMTCVCMTPRI049;0;0;0;Manual
24;CMTCVCMTPRI074;0;0;0;Manual
25;CMTCVCMTPRI087;0;0;0;Manual
26;CMTCVCMTPRI089;0;0;0;Manual
27;CMTCVCMTPRI097;0;0;0;Manual
28;CMTCVCMTPRI107;0;0;0;Manual
29;CMTCVCMTPRI112;0;0;0;Manual
30;CMTCVCMTPRI113;0;0;0;Manual
31;CMTCVCMTPRI114;0;0;0;Manual
32;CMTCVCMTPRI115;0;0;0;Manual
33;CMTCVCMTPRI116;0;0;0;Manual
34;CMTCVCMTPRI120;0;0;0;Manual
35;CMTCVCMTPRI121;0;0;0;Manual
36;CMTCVCMTPRI122;0;0;0;Manual
37;CMTCVCMTPRI123;0;0;0;Manual
38;CMTCVCMTPRI124;0;0;0;Manual
39;CMTCVCMTPRI125;0;0;0;Manual
40;CMTCVCMTPRI126;0;0;0;Manual
41;CMTCVCMTPRI127;0;0;0;Manual
42;CMTCVCMTPRI128;0;0;0;Manual
43;CMTCVCMTPRI129;0;0;0;Manual
44;CMTCVCMTPRI130;0;0;0;Manual
45;CMTCVCMTPRI131;0;0;0;Manual
46;CMTCVCMTPRI132;0;0;0;Manual
47;CMTCVCMTPRI133;0;0;0;Manual
48;CMTCVCMTPRI134;0;0;0;Manual
49;CMTCVCMTPRI135;0;0;0;Manual
50;CMTCVCMTPRI136;0;0;0;Manual
51;CMTCVCMTPRI137;0;0;0;Manual
52;CMTCVCMTPRI138;0;0;0;Manual
53;CMTCVCMTPRI139;0;0;0;Manual
54;CMTCVCMTPRI140;0;0;0;Manual
55;CMTCVCMTPRI141;0;0;0;Manual
56;CMTCVCMTPRI142;0;0;0;Manual
57;CMTCVCMTPRI143;0;0;0;Manual
58;CMTCVCMTPRI144;0;0;0;Manual
59;CMTCVCMTPRI145;0;0;0;Manual
60;CMTCVCMTPRI146;0;0;0;Manual
61;CMTCVCMTPRI147;0;0;0;Manual
62;CMTCVCMTPRI148;0;0;0;Manual
63;CMTCVCMTPRI149;0;0;0;Manual
64;CMTCVCMTPRI150;0;0;0;Manual
65;CMTCVCMTPRI151;0;0;0;Manual
66;CMTCVCMTPRI152;0;0;0;Manual
67;CMTCVCMTPRI153;0;0;0;Manual
68;CMTCVCTNA042/19;1072.6;1322.6;250;Manual
69;CMTCVCTNA043/20;1178;1328;150;Manual
70;CMTCVCTNA044/20;1160;1310;150;Manual
71;CMTCVINA036/19;1078.115;1280;233.116718190695;Manual
72;CMTCVINA038/19;1169;1349;180;Manual
73;CMTCVINA039/19;808.95;1292;483.05;Manual
74;CMTCVINA040/19;1050.8;1351;300.2;Manual
75;CMTCVPZ018/19;1129;1280;151;Manual
76;CMTCVPZ018/19;1129;1280;151;Manual
77;DHP-39/15 CMT;0;0;0;Manual
78;INA-37/07;1333.48;1421.48;91.1043038760873;Manual
79;INA-38/18_CMT;1139;1277;138;Manual
80;INA-41/10;1263.745;1413.745;150;Manual
81;INA-PTP-12/07;1235.31;1417.31;182;Manual
82;PZ-30/07;1343.14;1440.14;97;Manual
83;PZ-31/07A;1369.03;1439.03;80.8290376865476;Manual
84;PZ-31/07B;1387.03;1439.03;60.0444279957211;Manual
85;PZ-32/07;1354.7;1432.701;78.001;Manual
86;PZ-33/07;1316.7;1416.7;100;Manual
87;PZ-34/07;1313.53;1413.53;100;Manual
88;PZ-35/07;1342.84;1442.84;115.470053837925;Manual
89;PZ-36/18_CMT;1143;1281;138;Manual
90;PZ-36/18_CMT;1143;1281;138;Manual
